subjectId,plearning_num,learning_rate_k,fit_a,fit_b,n_trials,mean_accuracy,fit_status,classification_learning_rate_k,median_session1_learning_rate_k,learner_group,classification_basis,subject_id,session,sess1_t1,sess1_t2,sess1_t3,sess1_t4,sess1_t5,sess1_t6,sess1_t7,sess1_t8,sess1_t9,sess1_t10,sess1_t11,sess1_t12,sess1_t13,sess1_t14,sess1_t15,sess1_t16,sess1_t17,sess1_t18,sess2_t1,sess2_t2,sess2_t3,sess2_t4,sess2_t5,sess2_t6,sess2_t7,sess2_t8,sess2_t9,sess2_t10,sess2_t11,sess2_t12,sess2_t13,sess2_t14,sess2_t15,sess2_t16,sess2_t17,sess2_t18,median_sess1,median_sess2,auc_sess1,auc_sess2,diff_s2_minus_s1,k_sess1,k_sess2,sess1_t2_winstay,sess1_t2_loseswitch,sess1_t3_winstay,sess1_t3_loseswitch,sess1_t4_winstay,sess1_t4_loseswitch,sess1_t5_winstay,sess1_t5_loseswitch,sess1_t6_winstay,sess1_t6_loseswitch,sess1_t7_winstay,sess1_t7_loseswitch,sess1_t8_winstay,sess1_t8_loseswitch,sess1_t9_winstay,sess1_t9_loseswitch,sess1_t10_winstay,sess1_t10_loseswitch,sess1_t11_winstay,sess1_t11_loseswitch,sess1_t12_winstay,sess1_t12_loseswitch,sess1_t13_winstay,sess1_t13_loseswitch,sess1_t14_winstay,sess1_t14_loseswitch,sess1_t15_winstay,sess1_t15_loseswitch,sess1_t16_winstay,sess1_t16_loseswitch,sess1_t17_winstay,sess1_t17_loseswitch,sess1_t18_winstay,sess1_t18_loseswitch,overall_winstay_sess1,overall_loseswitch_sess1,sess2_t2_winstay,sess2_t2_loseswitch,sess2_t3_winstay,sess2_t3_loseswitch,sess2_t4_winstay,sess2_t4_loseswitch,sess2_t5_winstay,sess2_t5_loseswitch,sess2_t6_winstay,sess2_t6_loseswitch,sess2_t7_winstay,sess2_t7_loseswitch,sess2_t8_winstay,sess2_t8_loseswitch,sess2_t9_winstay,sess2_t9_loseswitch,sess2_t10_winstay,sess2_t10_loseswitch,sess2_t11_winstay,sess2_t11_loseswitch,sess2_t12_winstay,sess2_t12_loseswitch,sess2_t13_winstay,sess2_t13_loseswitch,sess2_t14_winstay,sess2_t14_loseswitch,sess2_t15_winstay,sess2_t15_loseswitch,sess2_t16_winstay,sess2_t16_loseswitch,sess2_t17_winstay,sess2_t17_loseswitch,sess2_t18_winstay,sess2_t18_loseswitch,overall_winstay_sess2,overall_loseswitch_sess2,LearnerType,slope_pre,slope_post,delta_slope,baseline_mean_hr,peak_mean_hr,post_vr_mean_hr,pre_vr_mean_hr,recovery_mean_hr,vr_math_mean_hr,vr_prep_mean_hr,vr_speech_mean_hr,baseline_median_hr,peak_median_hr,post_vr_median_hr,pre_vr_median_hr,recovery_median_hr,vr_math_median_hr,vr_prep_median_hr,vr_speech_median_hr,baseline_min_hr,peak_min_hr,post_vr_min_hr,pre_vr_min_hr,recovery_min_hr,vr_math_min_hr,vr_prep_min_hr,vr_speech_min_hr,baseline_max_hr,peak_max_hr,post_vr_max_hr,pre_vr_max_hr,recovery_max_hr,vr_math_max_hr,vr_prep_max_hr,vr_speech_max_hr,baseline_sd_hr,peak_sd_hr,post_vr_sd_hr,pre_vr_sd_hr,recovery_sd_hr,vr_math_sd_hr,vr_prep_sd_hr,vr_speech_sd_hr,baseline_n_samples,peak_n_samples,post_vr_n_samples,pre_vr_n_samples,recovery_n_samples,vr_math_n_samples,vr_prep_n_samples,vr_speech_n_samples,speech_hr_reactivity,math_hr_reactivity,prep_hr_reactivity,post_minus_pre_hr,recovery_minus_post_hr,baseline_eeg_available,plearning_1_eeg_available,plearning_2_eeg_available,post_vr_eeg_available,pre_vr_eeg_available,recovery_eeg_available,vr_math_eeg_available,vr_speech_eeg_available,baseline_eeg_n_rows,plearning_1_eeg_n_rows,plearning_2_eeg_n_rows,post_vr_eeg_n_rows,pre_vr_eeg_n_rows,recovery_eeg_n_rows,vr_math_eeg_n_rows,vr_speech_eeg_n_rows,subjectId_subjectinfo,worker_id,REDCapId,batch_id,study_title,opensesame_ver,datetime,screenwidth,screenheight,has_context,ntrials,face_blocks,mix_blocks,max_seq,block_seq,start_date,start_time,plearning_num_subjectinfo,source_json
005,1,0.0076106270180176,0.999999999229164,0.5609576005449822,180,0.4777777777777778,fit_success,0.0076106270180176,0.2791364963766258,bad,session1_learning_rate_k,005,1,0.7,0.4,0.3,0.5,0.4,0.3,0.2,0.8,0.5,0.5,0.7,0.2,0.7,0.2,0.7,0.4,0.5,0.6,0.8,0.7,0.6,0.4,0.5,0.5,0.6,0.7,0.5,0.7,0.5,0.3,0.4,0.6,0.7,0.4,0.3,0.7,0.5,0.55,8.6,9.9,0.05,0.0076106270180176,2.080634541193873e-24,0.5,1.0,0.0,0.6,0.25,0.4,0.5714285714285714,0.5,0.6666666666666666,0.2857142857142857,0.0,0.375,0.2,0.8,0.5,0.5,0.5,0.25,1.0,0.3333333333333333,0.5,0.5,0.25,0.3333333333333333,0.3333333333333333,0.25,0.0,0.8571428571428571,0.4,0.4,1.0,0.4285714285714285,0.8,0.4,0.4487179487179487,0.4777777777777778,0.75,0.5,0.5,0.5,0.3333333333333333,0.5,1.0,0.3333333333333333,0.25,0.5,0.5,0.5,0.5,0.5,0.4285714285714285,0.0,0.6666666666666666,0.5,0.625,0.5,0.3333333333333333,0.5714285714285714,0.25,0.3333333333333333,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.0,0.6,0.2,0.5,0.75,0.5544554455445545,0.463768115942029,bad,0.0041279669762641,-0.0089783281733746,-0.0131062951496387,76.51273885350318,74.41584158415841,68.99354838709678,71.35855263157895,,73.01413427561837,,76.56880733944953,77.0,76.0,72.0,71.0,,73.0,,77.0,61.0,57.0,50.0,60.0,,60.0,,66.0,85.0,85.0,80.0,82.0,,93.0,,85.0,5.076554215051563,5.582495098474355,8.170114277259307,5.167784749613986,,7.318959994449064,,4.257869594195313,314.0,303.0,310.0,304.0,,283.0,,327.0,5.21025470787059,1.6555816440394295,,-2.365004244482165,,1,1,1,1,1,0,1,1,996.0,2469.0,2906.0,819.0,976.0,,1111.0,1322.0,005,subject_005_plearning_1,subject_005_plearning_1,,Plearn_Adult v30,2.2.9,Mon Mar 16 2026 16:03:14 GMT-0400 (Eastern Daylight Time),1920,1080,False,180,5,0,2,hfhhffhfhf,Mar 16 2026,16:03:14,1,data/raw/subject_data/sub005/subject_005_plearning_1.json
005,2,2.080634541193873e-24,0.8601092159212421,0.3101092159212421,180,0.55,fit_success,0.0076106270180176,0.2791364963766258,bad,session1_learning_rate_k,005,2,0.7,0.4,0.3,0.5,0.4,0.3,0.2,0.8,0.5,0.5,0.7,0.2,0.7,0.2,0.7,0.4,0.5,0.6,0.8,0.7,0.6,0.4,0.5,0.5,0.6,0.7,0.5,0.7,0.5,0.3,0.4,0.6,0.7,0.4,0.3,0.7,0.5,0.55,8.6,9.9,0.05,0.0076106270180176,2.080634541193873e-24,0.5,1.0,0.0,0.6,0.25,0.4,0.5714285714285714,0.5,0.6666666666666666,0.2857142857142857,0.0,0.375,0.2,0.8,0.5,0.5,0.5,0.25,1.0,0.3333333333333333,0.5,0.5,0.25,0.3333333333333333,0.3333333333333333,0.25,0.0,0.8571428571428571,0.4,0.4,1.0,0.4285714285714285,0.8,0.4,0.4487179487179487,0.4777777777777778,0.75,0.5,0.5,0.5,0.3333333333333333,0.5,1.0,0.3333333333333333,0.25,0.5,0.5,0.5,0.5,0.5,0.4285714285714285,0.0,0.6666666666666666,0.5,0.625,0.5,0.3333333333333333,0.5714285714285714,0.25,0.3333333333333333,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.0,0.6,0.2,0.5,0.75,0.5544554455445545,0.463768115942029,bad,0.0041279669762641,-0.0089783281733746,-0.0131062951496387,76.51273885350318,74.41584158415841,68.99354838709678,71.35855263157895,,73.01413427561837,,76.56880733944953,77.0,76.0,72.0,71.0,,73.0,,77.0,61.0,57.0,50.0,60.0,,60.0,,66.0,85.0,85.0,80.0,82.0,,93.0,,85.0,5.076554215051563,5.582495098474355,8.170114277259307,5.167784749613986,,7.318959994449064,,4.257869594195313,314.0,303.0,310.0,304.0,,283.0,,327.0,5.21025470787059,1.6555816440394295,,-2.365004244482165,,1,1,1,1,1,0,1,1,996.0,2469.0,2906.0,819.0,976.0,,1111.0,1322.0,005,subject_005_plearning_2,subject_005_plearning_2,,Plearn_Adult v30,2.2.9,Mon Mar 16 2026 17:13:57 GMT-0400 (Eastern Daylight Time),1920,1080,False,180,4,0,2,hhfhhfhffh,Mar 16 2026,17:13:57,2,data/raw/subject_data/sub005/subject_005_plearning_2.json
007,1,0.0287432874236753,1.0,0.369426884624854,180,0.7166666666666667,fit_success,0.0287432874236753,0.2791364963766258,bad,session1_learning_rate_k,007,1,0.6,0.9,0.8,0.7,0.6,0.6,0.6,0.7,0.6,0.8,0.6,0.4,0.6,0.8,0.7,0.9,1.0,1.0,0.3,0.9,0.9,0.8,0.9,0.8,1.0,0.9,0.8,0.9,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.9,12.9,16.0,0.2,0.0287432874236753,0.7427781709733913,0.8333333333333334,1.0,0.8571428571428571,0.6666666666666666,1.0,1.0,0.8,0.6,0.6666666666666666,0.3333333333333333,1.0,0.5714285714285714,0.8,0.4,0.75,0.3333333333333333,0.8,0.6,0.8333333333333334,0.75,0.6666666666666666,0.5714285714285714,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.75,1.0,0.7142857142857143,1.0,1.0,1.0,0.0,1.0,0.0,0.8539325842696629,0.5641025641025641,1.0,1.0,1.0,0.0,0.875,0.0,1.0,0.3333333333333333,0.8571428571428571,0.0,0.8571428571428571,0.3333333333333333,0.875,0.0,0.6666666666666666,0.25,0.8333333333333334,0.5,0.875,0.0,1.0,0.4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9333333333333332,0.26,bad,0.0106295149638802,0.0196078431372549,0.0089783281733746,86.3342776203966,,72.25187032418953,75.10695187165776,76.67639902676399,73.9623430962343,,79.27234042553191,87.0,,72.0,76.0,77.0,74.0,,80.0,77.0,,61.0,59.0,64.0,65.0,,67.0,96.0,,82.0,83.0,89.0,86.0,,90.0,3.86804920616896,,3.625452074313236,4.219106904317964,4.121910837534507,4.696083245447948,,5.846530936049112,353.0,,401.0,374.0,411.0,239.0,,235.0,4.165388553874152,-1.1446087754234495,,-2.855081547468231,4.424528702574463,1,0,0,0,0,1,0,0,593.0,,,,,525.0,,,007,subject_007_plearning_1,subject_007_plearning_1,,Plearn_Adult v30,2.2.9,Mon Apr 13 2026 15:52:05 GMT-0400 (Eastern Daylight Time),1920,1080,False,180,5,0,3,fhhfffhhhf,Apr 13 2026,15:52:05,1,data/raw/subject_data/sub007/subject_007_plearning_1.json
007,2,0.7427781709733913,0.939312884902634,0.9999999999999424,180,0.8888888888888888,fit_success,0.0287432874236753,0.2791364963766258,bad,session1_learning_rate_k,007,2,0.6,0.9,0.8,0.7,0.6,0.6,0.6,0.7,0.6,0.8,0.6,0.4,0.6,0.8,0.7,0.9,1.0,1.0,0.3,0.9,0.9,0.8,0.9,0.8,1.0,0.9,0.8,0.9,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.9,12.9,16.0,0.2,0.0287432874236753,0.7427781709733913,0.8333333333333334,1.0,0.8571428571428571,0.6666666666666666,1.0,1.0,0.8,0.6,0.6666666666666666,0.3333333333333333,1.0,0.5714285714285714,0.8,0.4,0.75,0.3333333333333333,0.8,0.6,0.8333333333333334,0.75,0.6666666666666666,0.5714285714285714,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.75,1.0,0.7142857142857143,1.0,1.0,1.0,0.0,1.0,0.0,0.8539325842696629,0.5641025641025641,1.0,1.0,1.0,0.0,0.875,0.0,1.0,0.3333333333333333,0.8571428571428571,0.0,0.8571428571428571,0.3333333333333333,0.875,0.0,0.6666666666666666,0.25,0.8333333333333334,0.5,0.875,0.0,1.0,0.4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9333333333333332,0.26,bad,0.0106295149638802,0.0196078431372549,0.0089783281733746,86.3342776203966,,72.25187032418953,75.10695187165776,76.67639902676399,73.9623430962343,,79.27234042553191,87.0,,72.0,76.0,77.0,74.0,,80.0,77.0,,61.0,59.0,64.0,65.0,,67.0,96.0,,82.0,83.0,89.0,86.0,,90.0,3.86804920616896,,3.625452074313236,4.219106904317964,4.121910837534507,4.696083245447948,,5.846530936049112,353.0,,401.0,374.0,411.0,239.0,,235.0,4.165388553874152,-1.1446087754234495,,-2.855081547468231,4.424528702574463,1,0,0,0,0,1,0,0,593.0,,,,,525.0,,,007,subject_007_plearning_2,subject_007_plearning_2,,Plearn_Adult v30,2.2.9,Mon Apr 13 2026 17:06:44 GMT-0400 (Eastern Daylight Time),1920,1080,False,180,5,0,3,hhfhfffhfh,Apr 13 2026,17:06:44,2,data/raw/subject_data/sub007/subject_007_plearning_2.json
010,1,1.1506669997924468,0.4701610349994026,0.9999999999999972,180,0.4444444444444444,fit_success,1.1506669997924468,0.2791364963766258,good,session1_learning_rate_k,010,1,0.1,0.4,0.5,0.5,0.6,0.7,0.5,0.5,0.4,0.4,0.5,0.3,0.5,0.1,0.6,0.5,0.4,0.5,0.5,0.4,0.6,0.5,0.3,0.6,0.5,0.4,0.4,0.5,0.5,0.3,0.5,0.6,0.5,0.6,0.4,0.3,0.5,0.5,8.0,8.4,0.0,1.1506669997924468,6.428569527255926e-16,0.75,0.5,0.3333333333333333,0.6,0.75,0.6,1.0,0.6,0.5,0.7142857142857143,0.4,1.0,0.25,0.1666666666666666,0.5,0.4,0.6,0.4,0.8,0.5,0.0,0.6666666666666666,0.25,0.8,0.25,0.2,0.0,0.5714285714285714,0.3333333333333333,0.5,0.6,0.3333333333333333,0.5,1.0,0.4927536231884058,0.573170731707317,0.6666666666666666,0.3333333333333333,0.25,1.0,0.3333333333333333,0.5714285714285714,0.5,0.6666666666666666,0.6666666666666666,0.2,0.6666666666666666,0.25,0.25,0.3333333333333333,0.5,0.5714285714285714,0.75,0.2,0.5,0.5,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.3333333333333333,0.6,0.2,0.1666666666666666,1.0,0.1666666666666666,0.25,0.75,0.4,0.4444444444444444,0.4545454545454545,good,0.001031991744066,-0.002063983488132,-0.0030959752321981,77.07051282051282,,75.46376811594203,69.55737704918033,77.84615384615384,78.54746835443038,84.71637426900585,83.34137931034483,78.0,,75.0,70.0,78.0,79.0,85.0,85.0,54.0,,69.0,52.0,64.0,66.0,77.0,65.0,86.0,,88.0,81.0,89.0,91.0,95.0,93.0,6.01884733224214,,3.607081657740556,6.1116922837445,4.654153275925181,5.280177959568188,4.428476335185815,5.895633082239847,312.0,,345.0,305.0,312.0,316.0,342.0,290.0,13.784002261164504,8.990091305250047,15.158997219825524,5.9063910667616994,2.3823857302118085,1,0,0,1,1,1,0,0,1029.0,,,676.0,660.0,803.0,,,010,subject_010_plearning_1,subject_010_plearning_1,,Plearn_Adult v30,2.2.9,Wed Apr 08 2026 16:41:51 GMT-0400 (Eastern Daylight Time),1920,1080,False,180,5,0,3,fhhfhfffhh,Apr 08 2026,16:41:51,1,data/raw/subject_data/sub010/subject_010_plearning_1.json
010,2,6.428569527255926e-16,0.6103777461067439,0.1437110794526276,180,0.4666666666666667,fit_success,1.1506669997924468,0.2791364963766258,good,session1_learning_rate_k,010,2,0.1,0.4,0.5,0.5,0.6,0.7,0.5,0.5,0.4,0.4,0.5,0.3,0.5,0.1,0.6,0.5,0.4,0.5,0.5,0.4,0.6,0.5,0.3,0.6,0.5,0.4,0.4,0.5,0.5,0.3,0.5,0.6,0.5,0.6,0.4,0.3,0.5,0.5,8.0,8.4,0.0,1.1506669997924468,6.428569527255926e-16,0.75,0.5,0.3333333333333333,0.6,0.75,0.6,1.0,0.6,0.5,0.7142857142857143,0.4,1.0,0.25,0.1666666666666666,0.5,0.4,0.6,0.4,0.8,0.5,0.0,0.6666666666666666,0.25,0.8,0.25,0.2,0.0,0.5714285714285714,0.3333333333333333,0.5,0.6,0.3333333333333333,0.5,1.0,0.4927536231884058,0.573170731707317,0.6666666666666666,0.3333333333333333,0.25,1.0,0.3333333333333333,0.5714285714285714,0.5,0.6666666666666666,0.6666666666666666,0.2,0.6666666666666666,0.25,0.25,0.3333333333333333,0.5,0.5714285714285714,0.75,0.2,0.5,0.5,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.3333333333333333,0.6,0.2,0.1666666666666666,1.0,0.1666666666666666,0.25,0.75,0.4,0.4444444444444444,0.4545454545454545,good,0.001031991744066,-0.002063983488132,-0.0030959752321981,77.07051282051282,,75.46376811594203,69.55737704918033,77.84615384615384,78.54746835443038,84.71637426900585,83.34137931034483,78.0,,75.0,70.0,78.0,79.0,85.0,85.0,54.0,,69.0,52.0,64.0,66.0,77.0,65.0,86.0,,88.0,81.0,89.0,91.0,95.0,93.0,6.01884733224214,,3.607081657740556,6.1116922837445,4.654153275925181,5.280177959568188,4.428476335185815,5.895633082239847,312.0,,345.0,305.0,312.0,316.0,342.0,290.0,13.784002261164504,8.990091305250047,15.158997219825524,5.9063910667616994,2.3823857302118085,1,0,0,1,1,1,0,0,1029.0,,,676.0,660.0,803.0,,,010,subject_010_plearning_2,subject_010_plearning_2,,Plearn_Adult v30,2.2.9,Wed Apr 08 2026 18:51:12 GMT-0400 (Eastern Daylight Time),1920,1080,False,180,5,0,3,hfhfhhfffh,Apr 08 2026,18:51:12,2,data/raw/subject_data/sub010/subject_010_plearning_2.json
012,1,0.1158393513582736,0.5198401074308266,0.1342339515829284,180,0.4666666666666667,fit_success,0.1158393513582736,0.2791364963766258,bad,session1_learning_rate_k,012,1,0.7,0.2,0.2,0.2,0.7,0.6,0.2,0.5,0.7,0.5,0.7,0.7,0.4,0.1,0.3,0.6,0.4,0.7,0.3,0.6,0.4,0.8,0.4,0.5,0.5,0.4,0.5,0.7,0.6,0.5,0.4,0.4,0.7,0.8,0.5,0.7,0.5,0.5,8.4,9.7,0.0,0.1158393513582736,0.0207968231866615,0.2857142857142857,0.6666666666666666,0.6,0.2,0.3333333333333333,0.0,1.0,0.7142857142857143,0.6,0.6,0.2,0.6,0.75,0.4,1.0,0.5,0.5714285714285714,0.3333333333333333,0.75,0.5,1.0,0.5,0.2,0.5,0.0,0.2857142857142857,0.5,0.375,0.1666666666666666,0.75,0.3333333333333333,0.6666666666666666,0.4,0.8,0.4814814814814814,0.4941176470588235,0.5,0.8,0.6,1.0,1.0,0.6,0.375,0.5,0.25,0.3333333333333333,0.8,0.6,0.7142857142857143,0.3333333333333333,0.5,0.5,0.6,0.8,0.7142857142857143,0.3333333333333333,0.0,0.2857142857142857,0.8,0.4,0.3333333333333333,0.5,0.2857142857142857,0.6666666666666666,0.75,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.5,0.75,0.5483870967741935,0.5466666666666666,bad,0.0055727554179566,0.0098039215686274,0.0042311661506708,79.6283185840708,,,74.29276315789474,78.83280757097792,85.4985590778098,90.34126984126983,74.89887640449439,80.0,,,75.0,78.0,85.0,90.0,76.0,65.0,,,65.0,65.0,70.0,72.0,61.0,87.0,,,82.0,97.0,102.0,108.0,86.0,3.3842517906071317,,,3.527798179676095,8.807745943860327,6.808433498527371,9.37785870692199,6.329388923610308,339.0,,,304.0,317.0,347.0,378.0,267.0,0.6061132465996479,11.205795919915062,16.048506683375095,,,1,0,0,0,1,1,0,0,489.0,,,,401.0,567.0,,,012,subject_012_plearning_1,subject_012_plearning_1,,Plearn_Adult v30,2.2.9,Tue Apr 14 2026 14:36:12 GMT-0400 (Eastern Daylight Time),1920,1080,False,180,5,0,3,hhffhhhfff,Apr 14 2026,14:36:12,1,data/raw/subject_data/sub012/subject_012_plearning_1.json
012,2,0.0207968231866615,0.9999999996865022,0.5586547028018553,180,0.5388888888888889,fit_success,0.1158393513582736,0.2791364963766258,bad,session1_learning_rate_k,012,2,0.7,0.2,0.2,0.2,0.7,0.6,0.2,0.5,0.7,0.5,0.7,0.7,0.4,0.1,0.3,0.6,0.4,0.7,0.3,0.6,0.4,0.8,0.4,0.5,0.5,0.4,0.5,0.7,0.6,0.5,0.4,0.4,0.7,0.8,0.5,0.7,0.5,0.5,8.4,9.7,0.0,0.1158393513582736,0.0207968231866615,0.2857142857142857,0.6666666666666666,0.6,0.2,0.3333333333333333,0.0,1.0,0.7142857142857143,0.6,0.6,0.2,0.6,0.75,0.4,1.0,0.5,0.5714285714285714,0.3333333333333333,0.75,0.5,1.0,0.5,0.2,0.5,0.0,0.2857142857142857,0.5,0.375,0.1666666666666666,0.75,0.3333333333333333,0.6666666666666666,0.4,0.8,0.4814814814814814,0.4941176470588235,0.5,0.8,0.6,1.0,1.0,0.6,0.375,0.5,0.25,0.3333333333333333,0.8,0.6,0.7142857142857143,0.3333333333333333,0.5,0.5,0.6,0.8,0.7142857142857143,0.3333333333333333,0.0,0.2857142857142857,0.8,0.4,0.3333333333333333,0.5,0.2857142857142857,0.6666666666666666,0.75,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.5,0.75,0.5483870967741935,0.5466666666666666,bad,0.0055727554179566,0.0098039215686274,0.0042311661506708,79.6283185840708,,,74.29276315789474,78.83280757097792,85.4985590778098,90.34126984126983,74.89887640449439,80.0,,,75.0,78.0,85.0,90.0,76.0,65.0,,,65.0,65.0,70.0,72.0,61.0,87.0,,,82.0,97.0,102.0,108.0,86.0,3.3842517906071317,,,3.527798179676095,8.807745943860327,6.808433498527371,9.37785870692199,6.329388923610308,339.0,,,304.0,317.0,347.0,378.0,267.0,0.6061132465996479,11.205795919915062,16.048506683375095,,,1,0,0,0,1,1,0,0,489.0,,,,401.0,567.0,,,012,subject_012_plearning_2,subject_012_plearning_2,,Plearn_Adult v30,2.2.9,Tue Apr 14 2026 16:03:10 GMT-0400 (Eastern Daylight Time),1920,1080,False,180,6,0,3,hffhfffhhf,Apr 14 2026,16:03:10,2,data/raw/subject_data/sub012/subject_012_plearning_2.json
013,1,6.0799433018943684e-21,0.7574184678231953,0.1018629122676398,180,0.6555555555555556,fit_success,6.0799433018943684e-21,0.2791364963766258,bad,session1_learning_rate_k,013,1,0.8,0.7,0.9,1.0,0.6,0.4,0.7,0.5,0.6,0.6,0.5,0.5,0.6,0.8,0.8,0.6,0.5,0.7,0.4,0.8,0.5,0.3,0.4,0.5,0.6,0.7,0.7,0.8,0.6,0.8,0.6,0.6,0.6,0.4,0.8,0.8,0.6,0.6,11.8,10.900000000000002,0.0,6.0799433018943684e-21,0.0750296494482985,0.8333333333333334,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.6,0.6,0.25,0.8,0.8333333333333334,0.75,0.5,0.5,0.6,0.4,0.4,0.4,0.8333333333333334,0.75,0.75,0.8,1.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.8,0.6,0.8,0.4,1.0,0.6,0.7608695652173914,0.5945945945945946,0.75,0.5,0.7,,0.5,0.75,0.8,0.8,1.0,0.6,1.0,0.6,1.0,0.25,1.0,0.4,0.8333333333333334,0.5,0.7142857142857143,0.6666666666666666,1.0,0.6666666666666666,0.625,0.5,0.8,0.2,1.0,0.0,0.8,0.2,1.0,0.6666666666666666,0.8333333333333334,0.25,0.8210526315789474,0.4666666666666667,bad,-0.008875128998968,0.0124871001031991,0.0213622291021671,107.36519607843135,,,96.18971061093248,,99.1641791044776,90.47079037800688,100.53211009174312,108.0,,,96.0,,99.0,89.0,105.0,99.0,,,78.0,,86.0,73.0,75.0,116.0,,,109.0,,108.0,107.0,110.0,3.1328432911280304,,,6.03051569879419,,5.1264081355561055,10.755992991593915,10.217062450247033,408.0,,,311.0,,268.0,291.0,218.0,4.342399480810641,2.974468493545132,-5.718920232925612,,,1,0,0,1,1,1,0,0,1011.0,,,520.0,557.0,635.0,,,013,subject_013_plearning_1,subject_013_plearning_1,,Plearn_Adult v30,2.2.9,Tue Apr 21 2026 14:53:55 GMT-0400 (Eastern Daylight Time),1920,1080,False,180,5,0,3,hhfffhfhfh,Apr 21 2026,14:53:55,1,data/raw/subject_data/sub013/subject_013_plearning_1.json
013,2,0.0750296494482985,0.7775933258955378,0.3256606292295482,180,0.6055555555555555,fit_success,6.0799433018943684e-21,0.2791364963766258,bad,session1_learning_rate_k,013,2,0.8,0.7,0.9,1.0,0.6,0.4,0.7,0.5,0.6,0.6,0.5,0.5,0.6,0.8,0.8,0.6,0.5,0.7,0.4,0.8,0.5,0.3,0.4,0.5,0.6,0.7,0.7,0.8,0.6,0.8,0.6,0.6,0.6,0.4,0.8,0.8,0.6,0.6,11.8,10.900000000000002,0.0,6.0799433018943684e-21,0.0750296494482985,0.8333333333333334,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.6,0.6,0.25,0.8,0.8333333333333334,0.75,0.5,0.5,0.6,0.4,0.4,0.4,0.8333333333333334,0.75,0.75,0.8,1.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.8,0.6,0.8,0.4,1.0,0.6,0.7608695652173914,0.5945945945945946,0.75,0.5,0.7,,0.5,0.75,0.8,0.8,1.0,0.6,1.0,0.6,1.0,0.25,1.0,0.4,0.8333333333333334,0.5,0.7142857142857143,0.6666666666666666,1.0,0.6666666666666666,0.625,0.5,0.8,0.2,1.0,0.0,0.8,0.2,1.0,0.6666666666666666,0.8333333333333334,0.25,0.8210526315789474,0.4666666666666667,bad,-0.008875128998968,0.0124871001031991,0.0213622291021671,107.36519607843135,,,96.18971061093248,,99.1641791044776,90.47079037800688,100.53211009174312,108.0,,,96.0,,99.0,89.0,105.0,99.0,,,78.0,,86.0,73.0,75.0,116.0,,,109.0,,108.0,107.0,110.0,3.1328432911280304,,,6.03051569879419,,5.1264081355561055,10.755992991593915,10.217062450247033,408.0,,,311.0,,268.0,291.0,218.0,4.342399480810641,2.974468493545132,-5.718920232925612,,,1,0,0,1,1,1,0,0,1011.0,,,520.0,557.0,635.0,,,013,subject_013_plearning_2,subject_013_plearning_2,,Plearn_Adult v30,2.2.9,Tue Apr 21 2026 16:20:08 GMT-0400 (Eastern Daylight Time),1920,1080,False,180,5,0,3,hfhfhhfffh,Apr 21 2026,16:20:08,2,data/raw/subject_data/sub013/subject_013_plearning_2.json
