family,hr_variable,learning_variable,n,spearman_rho,spearman_p,pearson_r,pearson_p,spearman_p_fdr,fdr_significant_0_05,spearman_strength,direction
exploratory_hr_vs_performance_and_post_levels,prep_hr_reactivity,delta_accuracy,13,0.6519951147386644,0.01574139933955271,0.6707486293209759,0.012092442906272824,,False,large,positive
exploratory_hr_vs_performance_and_post_levels,math_hr_reactivity,loseswitch_post,15,0.5344059327858157,0.04014462429532515,0.5590205137621871,0.030280607908174065,,False,large,positive
exploratory_hr_vs_performance_and_post_levels,recovery_minus_post_hr,delta_accuracy,11,0.5056960728118078,0.1125258312012272,0.2336905449259528,0.4891922649951692,,False,large,positive
exploratory_hr_vs_performance_and_post_levels,math_hr_reactivity,accuracy_post,15,-0.38744784180045455,0.15362230379828715,-0.4434969877928326,0.09775163393418301,,False,moderate,negative
exploratory_hr_vs_performance_and_post_levels,recovery_minus_post_hr,slope_post,11,-0.4090909090909091,0.21154501034209613,-0.2026856570534859,0.5500358116647537,,False,moderate,negative
exploratory_hr_vs_performance_and_post_levels,max_stress_reactivity,delta_accuracy,15,0.3378017434666193,0.21817294569292991,0.32615960520559284,0.2354584700501828,,False,moderate,positive
exploratory_hr_vs_performance_and_post_levels,mean_stress_reactivity,delta_accuracy,15,0.33243981103064113,0.22603142599929166,0.3569266946750704,0.191562920932703,,False,moderate,positive
exploratory_hr_vs_performance_and_post_levels,math_hr_reactivity,strategy_bias_post,15,-0.3214285714285714,0.2427190468016683,-0.44942723405814194,0.09282385793003178,,False,moderate,negative
exploratory_hr_vs_performance_and_post_levels,post_minus_pre_hr,strategy_bias_post,12,0.3636363636363637,0.2452650007307772,0.0419198248034104,0.8970792609035267,,False,moderate,positive
exploratory_hr_vs_performance_and_post_levels,mean_stress_reactivity,k_post,15,0.3142857142857143,0.2539400163236714,0.19360020301472858,0.48934771949251277,,False,moderate,positive
exploratory_hr_vs_performance_and_post_levels,post_minus_pre_hr,delta_trial_gain,12,0.35664335664335667,0.25513775175895725,0.07952913417794874,0.8059249139794568,,False,moderate,positive
exploratory_hr_vs_performance_and_post_levels,mean_stress_reactivity,delta_trial_gain,15,-0.30357142857142855,0.2713558360038685,-0.3268742914879511,0.23437354268696517,,False,moderate,negative
exploratory_hr_vs_performance_and_post_levels,post_minus_pre_hr,k_post,12,-0.3426573426573427,0.2755674509567803,-0.32064449119016447,0.309555912755223,,False,moderate,negative
exploratory_hr_vs_performance_and_post_levels,recovery_minus_post_hr,delta_trial_gain,11,-0.35535399711100013,0.28351775271711704,-0.1496094082245007,0.6606223819215085,,False,moderate,negative
exploratory_hr_vs_performance_and_post_levels,speech_hr_reactivity,winstay_post,15,0.27499999999999997,0.3212111733193767,0.21971349230897852,0.4313926338466924,,False,small,positive
exploratory_hr_vs_performance_and_post_levels,speech_hr_reactivity,delta_accuracy,15,0.2734585542348823,0.32404096747829736,0.3403236332814412,0.21453730520056616,,False,small,positive
exploratory_hr_vs_performance_and_post_levels,math_hr_reactivity,delta_trial_gain,15,-0.2678571428571428,0.3344436005123538,-0.36101577268334645,0.18615939093526132,,False,small,negative
exploratory_hr_vs_performance_and_post_levels,math_hr_reactivity,k_post,15,0.2571428571428571,0.35486036365060913,0.29885166627656246,0.2792499371223706,,False,small,positive
exploratory_hr_vs_performance_and_post_levels,recovery_minus_post_hr,k_post,11,0.3090909090909091,0.3550284397015071,0.4579937510558815,0.15659880515999383,,False,moderate,positive
exploratory_hr_vs_performance_and_post_levels,speech_hr_reactivity,k_post,15,0.24285714285714283,0.38312834183934175,0.07375351010580633,0.7939227725581836,,False,small,positive
exploratory_hr_vs_performance_and_post_levels,post_minus_pre_hr,loseswitch_post,12,-0.26970269031026334,0.39658003314726253,-0.17105980702918888,0.5950301266327966,,False,small,negative
exploratory_hr_vs_performance_and_post_levels,speech_hr_reactivity,slope_post,15,0.23571428571428568,0.3977029459032728,0.5308780000120907,0.041733517146736246,,False,small,positive
exploratory_hr_vs_performance_and_post_levels,math_hr_reactivity,winstay_post,15,-0.2321428571428571,0.40509874069364893,-0.34385277198946557,0.2095143951648874,,False,small,negative
exploratory_hr_vs_performance_and_post_levels,mean_stress_reactivity,loseswitch_post,15,0.2252011623110795,0.4196781970991659,0.2588748205281667,0.35151410188582705,,False,small,positive
exploratory_hr_vs_performance_and_post_levels,max_stress_reactivity,slope_post,15,0.21428571428571427,0.44314093482351424,0.3145543469018166,0.25351237030728363,,False,small,positive
exploratory_hr_vs_performance_and_post_levels,max_stress_reactivity,k_post,15,0.1928571428571428,0.4910487016052232,0.15230671942436305,0.5878975541130523,,False,small,positive
exploratory_hr_vs_performance_and_post_levels,recovery_minus_post_hr,accuracy_post,11,-0.22831288248861156,0.49952599023533517,0.03597899170620354,0.916359755989922,,False,small,negative
exploratory_hr_vs_performance_and_post_levels,post_minus_pre_hr,accuracy_post,12,0.21052761174675116,0.5113262198542037,0.035603713451977714,0.9125294074009667,,False,small,positive
exploratory_hr_vs_performance_and_post_levels,speech_hr_reactivity,delta_trial_gain,15,-0.18214285714285713,0.5158816817070392,-0.22475223679315745,0.4206302840238869,,False,small,negative
exploratory_hr_vs_performance_and_post_levels,mean_stress_reactivity,accuracy_post,15,-0.18116774084187923,0.5181697728954697,-0.14061563607600902,0.6171798426874191,,False,small,negative
exploratory_hr_vs_performance_and_post_levels,recovery_minus_post_hr,winstay_post,11,-0.21818181818181823,0.519248247554982,0.027614455795801976,0.9357649279325437,,False,small,negative
exploratory_hr_vs_performance_and_post_levels,max_stress_reactivity,loseswitch_post,15,0.17873108119926945,0.5239074261169425,0.2616670278147073,0.34615654842128013,,False,small,positive
exploratory_hr_vs_performance_and_post_levels,math_hr_reactivity,trial_gain_post,15,-0.17173551629643674,0.5405372382394857,-0.19217541393735155,0.4926117386130029,,False,small,negative
exploratory_hr_vs_performance_and_post_levels,post_minus_pre_hr,delta_accuracy,12,0.19614741113473694,0.5412137259515317,0.09500307473013964,0.768994149304549,,False,small,positive
exploratory_hr_vs_performance_and_post_levels,recovery_minus_post_hr,trial_gain_post,11,-0.19090909090909092,0.5739131682855215,-0.027425181957890815,0.9362044300940685,,False,small,negative
exploratory_hr_vs_performance_and_post_levels,speech_hr_reactivity,strategy_bias_post,15,0.15714285714285714,0.5759526006037947,0.17822012695417383,0.5251142000218996,,False,small,positive
exploratory_hr_vs_performance_and_post_levels,post_minus_pre_hr,slope_post,12,0.16783216783216784,0.602099427786538,0.1355389696256421,0.6744833452242559,,False,small,positive
exploratory_hr_vs_performance_and_post_levels,prep_hr_reactivity,slope_post,13,0.15934065934065936,0.6030877531318972,0.18340790407852944,0.5486534418543323,,False,small,positive
exploratory_hr_vs_performance_and_post_levels,recovery_minus_post_hr,strategy_bias_post,11,-0.17272727272727276,0.6115423848512369,0.043563739508618055,0.898798736589465,,False,small,negative
exploratory_hr_vs_performance_and_post_levels,speech_hr_reactivity,loseswitch_post,15,0.13941024333543015,0.6202305866883092,-0.03226853797123902,0.9091094553492699,,False,small,positive
exploratory_hr_vs_performance_and_post_levels,prep_hr_reactivity,k_post,13,0.12637362637362637,0.680785475070949,0.15604107286511176,0.6107090009963154,,False,small,positive
exploratory_hr_vs_performance_and_post_levels,mean_stress_reactivity,slope_post,15,0.11428571428571425,0.6850657626568972,0.33116652937403057,0.2279232778616419,,False,small,positive
exploratory_hr_vs_performance_and_post_levels,mean_stress_reactivity,winstay_post,15,-0.11428571428571425,0.6850657626568972,-0.12791531053569494,0.6496065340389372,,False,small,negative
exploratory_hr_vs_performance_and_post_levels,post_minus_pre_hr,trial_gain_post,12,-0.1258741258741259,0.6966831093957659,-0.01727806412055375,0.9574966843713661,,False,small,negative
exploratory_hr_vs_performance_and_post_levels,speech_hr_reactivity,accuracy_post,15,0.10762440050012627,0.702626032523006,0.18217287814762817,0.5158113112151161,,False,small,positive
exploratory_hr_vs_performance_and_post_levels,prep_hr_reactivity,loseswitch_post,13,0.1045393010973386,0.7339499266784841,0.031575165236114505,0.9184402504336744,,False,small,positive
exploratory_hr_vs_performance_and_post_levels,mean_stress_reactivity,trial_gain_post,15,-0.0930234046605699,0.7415976693142499,-0.06045995003337845,0.8305154772061495,,False,negligible,negative
exploratory_hr_vs_performance_and_post_levels,math_hr_reactivity,delta_accuracy,15,0.09115285141162742,0.7466349380693187,0.11034783302196556,0.6954291969859586,,False,negligible,positive
exploratory_hr_vs_performance_and_post_levels,mean_stress_reactivity,strategy_bias_post,15,-0.08928571428571427,0.751672517350277,-0.18426222158336453,0.510924587154489,,False,negligible,negative
exploratory_hr_vs_performance_and_post_levels,prep_hr_reactivity,strategy_bias_post,13,0.0879120879120879,0.7751954088891221,-0.15568011987623231,0.6115449282928979,,False,negligible,positive
exploratory_hr_vs_performance_and_post_levels,post_minus_pre_hr,winstay_post,12,0.09090909090909093,0.7787253962454419,-0.02061917760681299,0.9492862458730826,,False,negligible,positive
exploratory_hr_vs_performance_and_post_levels,prep_hr_reactivity,winstay_post,13,-0.06043956043956044,0.8445023706449684,-0.17168449872611458,0.5749088077086199,,False,negligible,negative
exploratory_hr_vs_performance_and_post_levels,max_stress_reactivity,strategy_bias_post,15,0.049999999999999996,0.859540943467457,-0.15636262215829183,0.5778728982037662,,False,negligible,positive
exploratory_hr_vs_performance_and_post_levels,math_hr_reactivity,slope_post,15,0.035714285714285705,0.8994469934720875,0.13500491757130953,0.6314287356040126,,False,negligible,positive
exploratory_hr_vs_performance_and_post_levels,prep_hr_reactivity,accuracy_post,13,0.03314967720658979,0.9143863113766086,-0.04350489234720528,0.8877760966351085,,False,negligible,positive
exploratory_hr_vs_performance_and_post_levels,speech_hr_reactivity,trial_gain_post,15,0.019678027908966708,0.9445065899670029,0.10589324123682012,0.7072129833859626,,False,negligible,positive
exploratory_hr_vs_performance_and_post_levels,max_stress_reactivity,trial_gain_post,15,0.019678027908966708,0.9445065899670029,-0.007592994721597621,0.9785742864327878,,False,negligible,positive
exploratory_hr_vs_performance_and_post_levels,max_stress_reactivity,winstay_post,15,0.017857142857142853,0.9496353041738621,-0.09006811913931989,0.74956042595493,,False,negligible,positive
exploratory_hr_vs_performance_and_post_levels,prep_hr_reactivity,trial_gain_post,13,-0.01652898833951726,0.9572586881269243,-0.06313981481390783,0.8376363163926637,,False,negligible,negative
exploratory_hr_vs_performance_and_post_levels,max_stress_reactivity,accuracy_post,15,0.014349920066683501,0.9595187754596071,-0.07634008599849373,0.7868465534794384,,False,negligible,positive
exploratory_hr_vs_performance_and_post_levels,max_stress_reactivity,delta_trial_gain,15,-0.014285714285714282,0.9596997645989476,-0.22007434062139963,0.43061726333604483,,False,negligible,negative
exploratory_hr_vs_performance_and_post_levels,recovery_minus_post_hr,loseswitch_post,11,-0.013667461427346159,0.9681862209072394,-0.07558457793207254,0.8251911757568211,,False,negligible,negative
exploratory_hr_vs_performance_and_post_levels,prep_hr_reactivity,delta_trial_gain,13,0.010989010989010988,0.971577682777073,-0.2018753249958556,0.508359746007519,,False,negligible,positive
